what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1363173592998
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1363173593000
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1363173593000
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1363173593001
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1363173593002
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1363173593003
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1363173593006
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1363173593007
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1363173593008
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1363173593009
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1363173593010
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1363173593011
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1363173593011
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1363173593012
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1363173593087
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1363173593088
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1363173593089
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1363173593090
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1363173593091
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1363173593091
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1363173593093
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1363173593093
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1363173593094
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1363173593094
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1363173593096
started,bundle,com.objectaid.uml,1.1.0,"com.objectaid.uml",1363173593096
started,bundle,com.objectaid.uml.addon,1.1.0,"com.objectaid.uml.addon",1363173593097
started,bundle,com.objectaid.uml.cls,1.1.0,"com.objectaid.uml.cls",1363173593097
started,bundle,com.objectaid.uml.seq,1.1.0,"com.objectaid.uml.seq",1363173593253
os,sysinfo,,,"win32",1363173593258
arch,sysinfo,,,"x86_64",1363173593258
ws,sysinfo,,,"win32",1363173593258
locale,sysinfo,,,"en_US",1363173593258
processors,sysinfo,,,"2",1363173593282
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363173593282
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1363173593282
java.specification.name,sysinfo,,,"Java Platform API Specification",1363173593282
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363173593282
java.specification.version,sysinfo,,,"1.7",1363173593282
java.vendor,sysinfo,,,"Oracle Corporation",1363173593282
java.version,sysinfo,,,"1.7.0_17",1363173593282
java.vm.info,sysinfo,,,"mixed mode",1363173593282
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1363173593282
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363173593282
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363173593282
java.vm.specification.version,sysinfo,,,"1.7",1363173593282
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363173593282
java.vm.version,sysinfo,,,"23.7-b01",1363173593282
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1363173593815
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1363173593816
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1363173594355
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363173595109
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1363173595182
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1363173595188
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1363173595318
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1363173595406
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1363173595407
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1363173595534
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1363173595596
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1363173596035
started,bundle,org.tmatesoft.svnkit,1.3.5.7406,"org.tmatesoft.svnkit",1363173596605
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1363173596870
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1363173596871
started,bundle,com.sun.jna,3.2.7,"com.sun.jna",1363173596898
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1363173597126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363173598600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363173602560
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1363173612120
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1363173612180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363173635868
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363173645330
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1363173645828
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1363173645847
